Date,Time,PC,Side,Name,Mould,Cavity,Total,OK,Reject,Recycle,OCR,Ignore,Default,Default,OK,NoPart,Overlap,Position,ToothCount,DiameterMin,DiameterMax,Circularity,T2TDistMin,T2TDistMax,ToothGapMin,ToothGapMax,Hole,UpsideDown,SlantAngle,HeightMin,HeightMax,Protrusion,Letter,OCRFail,MissingX,Error,
2018-08-02,20:33:33,1,AB,Cavity,1,31,31,12,19,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15,2,0,
2018-08-02,20:33:33,1,AB,Cavity,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,33,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,36,347,322,24,0,1,0,0,0,347,0,0,0,0,0,1,1,0,0,22,1,0,0,0,0,0,0,0,3,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,37,336,313,22,0,1,0,0,0,336,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,3,6,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,38,329,302,26,0,1,0,0,0,329,0,0,0,0,0,2,1,0,0,21,4,0,0,0,0,0,0,0,39,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,39,353,333,20,0,0,0,0,0,353,0,0,0,3,0,1,0,0,0,14,2,0,0,0,0,0,0,0,6,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,41,343,307,35,0,1,0,0,0,343,0,0,0,0,0,1,0,0,0,34,1,0,0,0,0,0,0,0,2,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,42,339,312,26,0,1,0,0,0,339,0,0,0,1,0,0,0,0,0,24,0,0,0,0,0,1,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,43,337,303,33,0,1,0,0,0,337,0,0,0,1,0,3,0,0,0,28,1,0,0,0,0,0,0,0,20,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,44,352,318,34,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,5,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,47,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,48,21,20,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,49,344,307,36,0,1,0,0,0,344,0,0,0,3,0,1,0,0,0,31,0,0,0,0,0,1,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,52,340,307,32,0,1,0,0,0,340,0,0,0,2,0,0,0,0,0,28,1,0,0,0,1,0,0,0,2,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,54,344,320,23,0,1,0,0,0,344,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,1,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,55,343,311,32,0,0,0,0,0,343,0,0,0,1,0,1,0,0,0,27,1,0,0,0,0,2,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,57,313,290,22,0,1,0,0,0,313,0,0,0,3,0,1,0,0,0,17,0,0,0,0,0,1,0,0,2,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,58,7,5,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,60,333,305,27,0,1,0,0,0,333,0,0,0,1,0,0,0,0,0,26,0,0,0,0,0,0,0,0,1,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,61,345,319,25,0,1,0,0,0,345,0,0,0,2,0,1,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,64,346,315,29,1,1,0,0,0,346,0,0,1,0,0,2,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,66,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,68,8,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,7,344,314,27,2,1,0,0,0,344,0,0,2,1,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018-08-02,20:33:33,1,AB,Cavity,2,11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
